ID|NETWORK|CATEGORY|NAME|RATE_USD|MIN|MAX|REFILL|CANCEL|DRIP|EXTERNAL_ID|DESCRIPTION
1288|TELEGRAM|🎭 Реакции / Эмодзи|Telegram Микс негативных реакций [👎 😱 💩 😢 🤮] + Просмотры [10 будущих постов]|92.8759|20|2000000|false|false|true|1288|
1293|TELEGRAM|🎭 Реакции / Эмодзи|Telegram Микс негативных реакций [👎 😱 💩 😢 🤮] + Просмотры [50 будущих постов]|464.3793|20|2000000|false|false|true|1293|
1287|TELEGRAM|🎭 Реакции / Эмодзи|Telegram Микс позитивных реакций [👍 ❤️ 🔥 🎉 😁] + Просмотры  [10 будущих постов]|92.8759|20|2000000|false|false|true|1287|
1289|TELEGRAM|🎭 Реакции / Эмодзи|Telegram Микс позитивных реакций [👍 ❤️ 🔥 🎉 😁] + Просмотры  [30 будущих постов]|278.6276|20|2000000|false|false|true|1289|
1292|TELEGRAM|🎭 Реакции / Эмодзи|Telegram Микс позитивных реакций [👍 ❤️ 🔥 🎉 😁] + Просмотры  [50 будущих постов]|464.3793|20|2000000|false|false|true|1292|
2454|TELEGRAM|🎭 Реакции / Эмодзи|Telegram Реакции [👍 ❤️ 🔥 🎉🤩 😁] [Для закрытого канала]|12.9200|1|1000|false|false|true|2454|
2354|TELEGRAM|🎭 Реакции / Эмодзи|Telegram Реакции негативные [👎😁😢💩🤮🤔🤯🤬] [Лучшая цена!]|0.8745|10|10000|false|false|true|2354|
2353|TELEGRAM|🎭 Реакции / Эмодзи|Telegram Реакции позитивные [👍🤩🎉🔥❤️🥰👏🏻] [Лучшая цена!]|0.8745|10|10000|false|false|true|2353|
2026|TELEGRAM|🎭 Реакции / Эмодзи|Telegram Реакция [☃️]|1.1383|10|130000|false|false|true|2026|
2012|TELEGRAM|🎭 Реакции / Эмодзи|Telegram Реакция [⚡️]|1.1383|10|130000|false|false|true|2012|
2054|TELEGRAM|🎭 Реакции / Эмодзи|Telegram Реакция [✍]|1.1383|10|130000|false|false|true|2054|
2006|TELEGRAM|🎭 Реакции / Эмодзи|Telegram Реакция [❤️]|1.1383|10|130000|false|false|true|2006|
2046|TELEGRAM|🎭 Реакции / Эмодзи|Telegram Реакция [🌚]|1.1383|10|130000|false|false|true|2046|
2047|TELEGRAM|🎭 Реакции / Эмодзи|Telegram Реакция [🌭]|1.1383|10|130000|false|false|true|2047|
2018|TELEGRAM|🎭 Реакции / Эмодзи|Telegram Реакция [🍌]|1.1383|10|130000|false|false|true|2018|
2048|TELEGRAM|🎭 Реакции / Эмодзи|Telegram Реакция [🍓]|1.1383|10|130000|false|false|true|2048|
2032|TELEGRAM|🎭 Реакции / Эмодзи|Telegram Реакция [🍾]|1.1383|10|130000|false|false|true|2032|
2052|TELEGRAM|🎭 Реакции / Эмодзи|Telegram Реакция [🎃]|1.1383|10|130000|false|false|true|2052|
2024|TELEGRAM|🎭 Реакции / Эмодзи|Telegram Реакция [🎄]|1.1383|10|130000|false|false|true|2024|
2025|TELEGRAM|🎭 Реакции / Эмодзи|Telegram Реакция [🎅]|1.1383|10|130000|false|false|true|2025|
2028|TELEGRAM|🎭 Реакции / Эмодзи|Telegram Реакция [🎉]|1.1383|10|130000|false|false|true|2028|
2019|TELEGRAM|🎭 Реакции / Эмодзи|Telegram Реакция [🏆]|1.1383|10|130000|false|false|true|2019|
2039|TELEGRAM|🎭 Реакции / Эмодзи|Telegram Реакция [🐳]|1.1383|10|130000|false|false|true|2039|
2016|TELEGRAM|🎭 Реакции / Эмодзи|Telegram Реакция [👀]|1.1383|10|130000|false|false|true|2016|
2037|TELEGRAM|🎭 Реакции / Эмодзи|Telegram Реакция [👌]|1.1383|10|130000|false|false|true|2037|
2009|TELEGRAM|🎭 Реакции / Эмодзи|Telegram Реакция [👍]|1.1383|10|130000|false|false|true|2009|
1290|TELEGRAM|🎭 Реакции / Эмодзи|Telegram Реакция [👍] + Просмотры [50 будущих постов]|464.3793|20|2000000|false|false|true|1290|
2456|TELEGRAM|🎭 Реакции / Эмодзи|Telegram Реакция [👍] [Для закрытого канала]|12.9200|1|1000|false|false|true|2456|
